20, 9602, 1177
21, 10452, 1184
11, 2846, 496
8, 1280, 259
11, 3431, 538
28, 16211, 1394
24, 13577, 1188
21, 11705, 1007
29, 17306, 1395
25, 14686, 1213
10, 2251, 604
28, 15221, 2282
31, 17134, 2338
31, 17334, 2338
11, 3070, 944
12, 5634, 868
17, 11588, 1131
24, 19006, 1656
12, 6254, 918
23, 18325, 1595
35, 14194, 1351
43, 17050, 1676
44, 17942, 1693
34, 12990, 1334
25, 9059, 992
26, 8637, 1494
30, 10075, 1557
13, 2752, 799
27, 9027, 1518
17, 4284, 971
18, 11857, 1186
15, 9704, 1071
7, 2166, 393
14, 8263, 932
18, 11648, 1186
12, 3609, 1089
15, 6343, 1454
15, 6173, 1450
19, 10024, 1618
22, 10957, 1710
29, 19930, 1649
24, 16298, 1325
22, 12827, 1256
14, 6870, 821
22, 13661, 1649
14, 10164, 1112
9, 4594, 706
24, 18383, 1907
6, 1626, 348
19, 14213, 1470
15, 4274, 570
47, 16364, 1683
18, 5038, 699
35, 11852, 1299
38, 12404, 1428
38, 17585, 2496
37, 16707, 2493
29, 12315, 1897
9, 1216, 354
12, 3486, 698
9, 3717, 1030
12, 6934, 1461
19, 16307, 2400
12, 7219, 1496
21, 18110, 2915
39, 12490, 1376
44, 14206, 1531
55, 18147, 1905
44, 14545, 1905
57, 19143, 1933
19, 11537, 1408
14, 7353, 1036
23, 14563, 1694
21, 12480, 1660
7, 1285, 368
31, 18409, 1311
31, 18210, 1311
15, 7015, 645
23, 13166, 978
12, 3890, 478
38, 13683, 1349
22, 7326, 733
40, 14869, 1388
22, 6965, 1388
50, 18584, 1735
37, 9515, 732
51, 13558, 1014
14, 2449, 282
33, 8045, 661
63, 17126, 1252
24, 12211, 1635
24, 11576, 1635
18, 7511, 1395
30, 15701, 2213
12, 4035, 817
18, 4140, 636
14, 2639, 508
18, 4174, 636
22, 5808, 808
56, 17880, 1832
45, 13844, 1088
40, 12384, 952
35, 10128, 891
13, 1941, 332
13, 2524, 389
12, 3076, 728
26, 11270, 1582
15, 5085, 1161
15, 4664, 1133
37, 17704, 2257
13, 8852, 1634
20, 15569, 2000
17, 13087, 1877
10, 5491, 1058
16, 9784, 1761
50, 16714, 956
52, 17612, 987
18, 4613, 344
52, 17725, 987
21, 5957, 423
11, 3271, 445
24, 10052, 1025
15, 5734, 626
41, 18931, 1669
10, 2666, 385
24, 19510, 1475
21, 14934, 1303
13, 8055, 876
24, 19330, 1475
19, 13435, 1253
43, 14707, 1366
40, 12995, 1285
42, 14512, 1332
52, 18411, 1634
23, 6806, 762
12, 2680, 450
20, 6569, 820
28, 12125, 982
18, 5470, 731
41, 19592, 1457
31, 9771, 1133
48, 16999, 1642
37, 12901, 1211
50, 18017, 1668
50, 17647, 1668
13, 3890, 603
16, 5942, 738
9, 2318, 407
32, 15027, 1441
8, 1359, 275
19, 11260, 1753
22, 12916, 1820
27, 17253, 2376
9, 1682, 592
14, 7270, 1197
38, 17577, 2184
12, 2955, 704
32, 14994, 1627
25, 10583, 1485
35, 15927, 2021
17, 17106, 1985
11, 7465, 1138
11, 7117, 1985
11, 7951, 1985
9, 4989, 860
21, 7852, 942
36, 16230, 1453
11, 2180, 485
35, 15520, 1436
23, 9368, 976
38, 18715, 1324
35, 17362, 1244
38, 19102, 1324
11, 3419, 412
30, 14653, 1038
31, 13454, 1767
41, 19091, 2206
33, 15231, 1783
15, 5429, 990
32, 14029, 1775
18, 7445, 770
27, 12655, 1184
32, 15762, 1360
21, 9520, 901
20, 8170, 884
29, 15910, 2285
12, 4535, 1005
31, 18007, 2313
15, 6372, 1224
18, 8058, 1568
24, 17698, 1882
6, 1531, 288
16, 11323, 1194
13, 7501, 976
15, 9226, 1182
38, 12511, 1507
46, 15124, 1820
46, 15024, 1820
36, 11135, 1449
22, 6466, 881
25, 8281, 1019
26, 9637, 1024
31, 11928, 1251
13, 3840, 565
43, 17069, 1705
33, 10760, 1178
16, 4048, 642
53, 18606, 1858
23, 6637, 838
54, 19402, 1861
13, 4247, 667
32, 14499, 1676
21, 8104, 1121
36, 16821, 1805
35, 16500, 1777
32, 7477, 612
18, 3971, 344
70, 18329, 1340
60, 15931, 1148
56, 14482, 1072
12, 4108, 628
31, 15612, 1576
18, 7628, 968
15, 6006, 823
23, 10544, 1211
24, 8319, 1119
26, 9594, 1145
15, 3770, 716
33, 13058, 1503
45, 18846, 1952
21, 11859, 1038
21, 11582, 1038
25, 13050, 1273
22, 12085, 1053
15, 6385, 764
18, 5441, 602
17, 4609, 582
18, 4861, 602
41, 14617, 1402
38, 13581, 1237
38, 13688, 1377
37, 13657, 1354
50, 19037, 1882
49, 18635, 1859
22, 6491, 970
15, 14223, 1097
7, 3380, 420
11, 10025, 804
8, 3871, 447
19, 19934, 1390
20, 5810, 488
22, 6376, 520
18, 4125, 441
44, 14859, 1040
12, 2750, 304
16, 4863, 602
25, 9600, 995
35, 15645, 1211
38, 17376, 1441
41, 19719, 1453
9, 2890, 708
14, 7018, 1005
10, 3782, 827
26, 17254, 1918
9, 3022, 750
11, 6064, 1044
12, 8383, 1196
15, 10993, 1506
15, 10055, 1506
6, 1097, 304
12, 14400, 1155
9, 7507, 840
9, 8422, 1155
12, 9989, 1131
14, 15214, 1351
39, 15263, 1083
47, 19617, 1377
20, 5473, 633
35, 13473, 1031
29, 10774, 958
33, 12279, 934
32, 11660, 885
47, 18602, 1334
24, 8703, 668
10, 2391, 268
51, 15877, 2388
45, 13640, 1823
60, 19250, 2564
19, 4052, 842
14, 1896, 670
43, 19465, 1910
38, 17279, 1660
39, 17814, 1735
18, 6768, 909
33, 14259, 1473
27, 12161, 711
30, 13062, 825
28, 12700, 738
41, 19204, 1100
32, 14565, 867
24, 11989, 1820
31, 16814, 2337
31, 17076, 2337
21, 10323, 1455
19, 9527, 1427
14, 8258, 1405
11, 4509, 950
11, 4508, 1405
8, 2417, 614
11, 5860, 1069
19, 4175, 532
56, 17906, 1451
11, 1698, 288
36, 10853, 907
33, 9636, 864
33, 13988, 1172
16, 4581, 624
15, 4255, 597
42, 19085, 1518
24, 8913, 832
26, 10172, 742
38, 16450, 1065
36, 15918, 1032
44, 19379, 1230
27, 10799, 771
29, 13238, 1197
8, 1223, 322
33, 15614, 1500
15, 5437, 615
15, 5560, 1500
60, 16024, 1466
49, 12995, 1197
39, 9748, 953
21, 4663, 513
58, 15154, 1409
14, 6468, 1418
31, 19605, 2630
17, 8591, 1734
22, 11938, 2292
29, 17715, 2597
17, 8491, 889
12, 6049, 609
17, 9032, 889
14, 6783, 665
17, 8739, 889
43, 10608, 1418
21, 4035, 698
17, 2878, 652
37, 8823, 1342
23, 4328, 728
20, 4931, 566
34, 8722, 970
70, 19304, 1981
54, 14757, 1536
67, 18779, 1900
22, 17584, 1621
12, 7681, 872
16, 11666, 1174
24, 18690, 1777
17, 12504, 1268
12, 3871, 525
28, 11412, 1225
28, 11901, 1225
36, 15375, 1575
16, 5460, 700
34, 12430, 987
12, 1751, 340
49, 19685, 1381
13, 2889, 410
12, 1760, 1381
9, 1831, 262
13, 3853, 422
19, 6436, 618
15, 4634, 458
11, 2475, 336
