20, 9602, 1264
21, 10452, 1407
11, 2846, 525
8, 1280, 354
11, 3431, 589
28, 16211, 1988
24, 13577, 1653
21, 11705, 1652
29, 17306, 2298
25, 14686, 1987
10, 2251, 912
28, 15221, 3208
31, 17134, 4190
31, 17334, 4190
11, 3070, 1008
12, 5634, 913
17, 11588, 1744
24, 19006, 2606
12, 6254, 950
23, 18325, 1932
35, 14194, 1895
43, 17050, 2155
44, 17942, 2373
34, 12990, 1677
25, 9059, 1199
26, 8637, 1867
30, 10075, 1927
13, 2752, 850
27, 9027, 1927
17, 4284, 995
18, 11857, 1881
15, 9704, 1488
7, 2166, 602
14, 8263, 1881
18, 11648, 1881
12, 3609, 1181
15, 6343, 1490
15, 6173, 1490
19, 10024, 2704
22, 10957, 2705
29, 19930, 2473
24, 16298, 1881
22, 12827, 1770
14, 6870, 1167
22, 13661, 1832
14, 10164, 1460
9, 4594, 874
24, 18383, 2147
6, 1626, 387
19, 14213, 2046
15, 4274, 804
47, 16364, 2424
18, 5038, 846
35, 11852, 1908
38, 12404, 2424
38, 17585, 3256
37, 16707, 3253
29, 12315, 2565
9, 1216, 552
12, 3486, 916
9, 3717, 1131
12, 6934, 2173
19, 16307, 3708
12, 7219, 2224
21, 18110, 3861
39, 12490, 1970
44, 14206, 2224
55, 18147, 2768
44, 14545, 2768
57, 19143, 2994
19, 11537, 2274
14, 7353, 1750
23, 14563, 2408
21, 12480, 2374
7, 1285, 430
31, 18409, 1687
31, 18210, 1567
15, 7015, 860
23, 13166, 1234
12, 3890, 573
38, 13683, 1608
22, 7326, 943
40, 14869, 1868
22, 6965, 934
50, 18584, 2144
37, 9515, 963
51, 13558, 1300
14, 2449, 337
33, 8045, 780
63, 17126, 1560
24, 12211, 2397
24, 11576, 2353
18, 7511, 1410
30, 15701, 2580
12, 4035, 1044
18, 4140, 862
14, 2639, 557
18, 4174, 862
22, 5808, 940
56, 17880, 2390
45, 13844, 1442
40, 12384, 1387
35, 10128, 1086
13, 1941, 341
13, 2524, 362
12, 3076, 1014
26, 11270, 2479
15, 5085, 1212
15, 4664, 1173
37, 17704, 2678
13, 8852, 1978
20, 15569, 2974
17, 13087, 2909
10, 5491, 1660
16, 9784, 1985
50, 16714, 1248
52, 17612, 1296
18, 4613, 432
52, 17725, 1296
21, 5957, 480
11, 3271, 618
24, 10052, 1310
15, 5734, 962
41, 18931, 2290
10, 2666, 571
24, 19510, 1841
21, 14934, 1586
13, 8055, 1012
24, 19330, 1841
19, 13435, 1342
43, 14707, 1876
40, 12995, 1600
42, 14512, 1876
52, 18411, 2262
23, 6806, 938
12, 2680, 481
20, 6569, 835
28, 12125, 1428
18, 5470, 722
41, 19592, 2150
31, 9771, 1220
48, 16999, 1896
37, 12901, 1712
50, 18017, 2256
50, 17647, 2256
13, 3890, 671
16, 5942, 1002
9, 2318, 520
32, 15027, 2101
8, 1359, 340
19, 11260, 2224
22, 12916, 2273
27, 17253, 3318
9, 1682, 756
14, 7270, 2074
38, 17577, 2415
12, 2955, 885
32, 14994, 2317
25, 10583, 2072
35, 15927, 2355
17, 17106, 2483
11, 7465, 1421
11, 7117, 1395
11, 7951, 1456
9, 4989, 860
21, 7852, 1378
36, 16230, 2107
11, 2180, 497
35, 15520, 2076
23, 9368, 1412
38, 18715, 1589
35, 17362, 1552
38, 19102, 1589
11, 3419, 423
30, 14653, 1418
31, 13454, 2446
41, 19091, 3045
33, 15231, 2470
15, 5429, 1219
32, 14029, 2462
18, 7445, 1255
27, 12655, 1766
32, 15762, 2233
21, 9520, 1483
20, 8170, 2233
29, 15910, 2959
12, 4535, 1019
31, 18007, 3787
15, 6372, 1787
18, 8058, 1992
24, 17698, 3046
6, 1531, 398
16, 11323, 1776
13, 7501, 1364
15, 9226, 1764
38, 12511, 2137
46, 15124, 2482
46, 15024, 2482
36, 11135, 1837
22, 6466, 1241
25, 8281, 1303
26, 9637, 1492
31, 11928, 1797
13, 3840, 790
43, 17069, 2329
33, 10760, 1456
16, 4048, 815
53, 18606, 2398
23, 6637, 977
54, 19402, 2692
13, 4247, 806
32, 14499, 1894
21, 8104, 1379
36, 16821, 2332
35, 16500, 2287
32, 7477, 795
18, 3971, 469
70, 18329, 1757
60, 15931, 1573
56, 14482, 1448
12, 4108, 723
31, 15612, 2146
18, 7628, 1158
15, 6006, 963
23, 10544, 1496
24, 8319, 1340
26, 9594, 1858
15, 3770, 696
33, 13058, 1983
45, 18846, 2672
21, 11859, 1746
21, 11582, 1746
25, 13050, 1785
22, 12085, 1785
15, 6385, 902
18, 5441, 848
17, 4609, 806
18, 4861, 828
41, 14617, 1749
38, 13581, 1707
38, 13688, 1756
37, 13657, 1756
50, 19037, 2462
49, 18635, 2141
22, 6491, 977
15, 14223, 1358
7, 3380, 560
11, 10025, 1113
8, 3871, 590
19, 19934, 1667
20, 5810, 642
22, 6376, 696
18, 4125, 446
44, 14859, 1392
12, 2750, 360
16, 4863, 647
25, 9600, 1208
35, 15645, 1761
38, 17376, 1842
41, 19719, 1871
9, 2890, 762
14, 7018, 1591
10, 3782, 809
26, 17254, 2520
9, 3022, 771
11, 6064, 1342
12, 8383, 1804
15, 10993, 1962
15, 10055, 1962
6, 1097, 352
12, 14400, 1891
9, 7507, 1024
9, 8422, 1891
12, 9989, 1404
14, 15214, 1903
39, 15263, 1290
47, 19617, 1805
20, 5473, 633
35, 13473, 1245
29, 10774, 1172
33, 12279, 1522
32, 11660, 1424
47, 18602, 2216
24, 8703, 1060
10, 2391, 366
51, 15877, 2849
45, 13640, 2713
60, 19250, 3025
19, 4052, 1193
14, 1896, 840
43, 19465, 2704
38, 17279, 2605
39, 17814, 2704
18, 6768, 1179
33, 14259, 2208
27, 12161, 880
30, 13062, 954
28, 12700, 927
41, 19204, 1413
32, 14565, 1128
24, 11989, 2472
31, 16814, 3286
31, 17076, 3286
21, 10323, 2466
19, 9527, 2376
14, 8258, 1939
11, 4509, 1247
11, 4508, 1939
8, 2417, 638
11, 5860, 1336
19, 4175, 512
56, 17906, 1854
11, 1698, 329
36, 10853, 1321
33, 9636, 1278
33, 13988, 1357
16, 4581, 644
15, 4255, 624
42, 19085, 1950
24, 8913, 1227
26, 10172, 931
38, 16450, 1413
36, 15918, 1402
44, 19379, 1674
27, 10799, 964
29, 13238, 1645
8, 1223, 441
33, 15614, 1791
15, 5437, 807
15, 5560, 1791
60, 16024, 2350
49, 12995, 1925
39, 9748, 1421
21, 4663, 721
58, 15154, 2200
14, 6468, 1504
31, 19605, 4040
17, 8591, 2380
22, 11938, 2762
29, 17715, 3801
17, 8491, 1042
12, 6049, 967
17, 9032, 1426
14, 6783, 1426
17, 8739, 1426
43, 10608, 1880
21, 4035, 1111
17, 2878, 652
37, 8823, 1804
23, 4328, 1156
20, 4931, 836
34, 8722, 1330
70, 19304, 2802
54, 14757, 2166
67, 18779, 2710
22, 17584, 2509
12, 7681, 1342
16, 11666, 1770
24, 18690, 2509
17, 12504, 1832
12, 3871, 861
28, 11412, 1785
28, 11901, 2009
36, 15375, 2359
16, 5460, 924
34, 12430, 1437
12, 1751, 340
49, 19685, 1948
13, 2889, 444
12, 1760, 341
9, 1831, 298
13, 3853, 577
19, 6436, 708
15, 4634, 618
11, 2475, 361
8, 2614, 621
37, 18827, 2940
23, 10644, 1765
10, 3789, 781
34, 16802, 2616
48, 12566, 1306
41, 10367, 1060
67, 18160, 1836
28, 6635, 776
58, 15600, 1571
8, 1379, 202
35, 18095, 1260
34, 17181, 1249
10, 3062, 304
11, 3713, 434
64, 18541, 1812
53, 14759, 1468
50, 13784, 1359
30, 8099, 820
40, 10807, 1101
30, 13104, 2079
39, 16386, 2619
42, 19012, 2952
15, 5111, 954
27, 10565, 1746
36, 17797, 1603
9, 2381, 335
38, 18946, 1682
10, 3453, 447
29, 13982, 1357
17, 6926, 1202
9, 1897, 480
9, 2470, 557
9, 1832, 470
34, 19361, 2507
33, 13338, 2293
12, 3404, 931
7, 1132, 312
33, 13524, 2543
29, 11364, 1981
32, 14045, 1768
24, 9996, 1326
28, 11358, 1417
40, 16914, 1992
40, 17990, 2210
14, 3923, 942
38, 19623, 3196
19, 8010, 1784
18, 7216, 1737
25, 11760, 2068
38, 14656, 1952
42, 16367, 2097
7, 1135, 238
27, 10039, 1370
28, 10523, 2097
9, 1064, 171
24, 7379, 733
46, 16288, 1452
48, 17391, 1589
48, 17218, 1541
36, 12369, 1723
12, 2805, 516
36, 12526, 1723
46, 16244, 2217
34, 11833, 1611
30, 18397, 3001
17, 9391, 1825
25, 15064, 2728
11, 4785, 948
30, 19883, 3255
21, 8760, 1664
33, 15166, 2499
11, 2261, 626
31, 13924, 2443
20, 7858, 1610
21, 9152, 1559
30, 15243, 2095
7, 1258, 377
21, 9271, 2095
14, 4322, 951
6, 1783, 533
15, 14301, 2447
11, 9690, 1875
7, 4397, 1166
6, 1657, 512
49, 13675, 1251
12, 1991, 258
46, 12651, 1137
24, 5456, 564
17, 3596, 423
8, 3000, 629
11, 5574, 940
19, 19955, 2559
11, 7816, 1354
15, 13325, 1880
12, 2897, 599
12, 2711, 571
12, 2689, 599
9, 2253, 552
41, 18164, 2806
8, 1094, 206
26, 10104, 970
43, 19297, 1770
40, 17666, 1537
20, 7474, 746
19, 8176, 1166
14, 5166, 791
31, 14702, 2063
25, 11341, 1557
10, 3066, 522
27, 9122, 1776
20, 6043, 1274
17, 4707, 1183
30, 10245, 1812
40, 14462, 2449
20, 5136, 648
23, 5925, 669
52, 16820, 1694
45, 14273, 1448
16, 3722, 573
23, 9949, 1803
22, 9234, 1803
18, 7169, 1427
27, 12779, 2183
27, 12666, 2183
28, 7742, 1084
39, 11718, 1470
25, 6374, 782
16, 3354, 419
61, 19991, 2260
25, 7495, 993
50, 17190, 1993
13, 2806, 555
25, 7495, 1993
22, 6394, 940
35, 17455, 3175
35, 17536, 3175
30, 13812, 2587
17, 6385, 1348
18, 7239, 1619
33, 12054, 1678
41, 15828, 2211
8, 1089, 242
24, 8346, 1216
12, 3021, 533
13, 5342, 874
14, 6437, 1100
25, 13293, 1940
10, 3008, 574
23, 11653, 1920
21, 6202, 688
22, 7011, 742
49, 19561, 1968
16, 4634, 640
14, 3869, 587
5, 1233, 357
15, 12101, 2460
10, 7454, 1439
7, 3267, 722
