0.05, 4, 4, 4, 4, 4, 1, 23, 2000, 91, 1, 20, 1000, 45, 1, 45, 5000, 141, 2, 48, 6000, 141, 1, 71, 6000, 146, 1, 23, 1000, 39, 1, 32, 4000, 146, 0, 13, 2000, 71, 0, 67, 5000, 148, 0, 23, 8000, 254, 3, 53, 4000, 81, 5, 95, 5000, 252, 1, 51, 4000, 160, 3, 48, 5000, 160, 1, 17, 1000, 52, 1, 28, 3000, 106
0.05, 4, 4, 4, 4, 4, 1, 13, 1000, 25, 2, 119, 6000, 198, 1, 10, 1000, 77, 1, 51, 9000, 198, 3, 48, 2000, 71, 2, 60, 9000, 232, 4, 92, 10000, 232, 0, 18, 2000, 133, 0, 144, 10000, 265, 1, 20, 8000, 119, 2, 31, 9000, 265, 1, 58, 2000, 84, 5, 161, 8000, 271, 1, 42, 7000, 273, 0, 38, 2000, 52, 1, 13, 3000, 103
0.05, 4, 4, 4, 4, 4, 3, 51, 4000, 124, 3, 67, 6000, 194, 0, 70, 6000, 274, 3, 77, 6000, 274, 1, 15, 1000, 50, 1, 37, 2000, 88, 2, 29, 8000, 216, 7, 115, 10000, 213, 4, 107, 5000, 185, 1, 15, 3000, 73, 0, 35, 3000, 182, 1, 11, 1000, 35, 2, 24, 9000, 111, 1, 31, 4000, 110, 0, 17, 1000, 41, 1, 23, 1000, 76
0.05, 4, 4, 4, 4, 4, 2, 59, 10000, 221, 2, 36, 2000, 78, 3, 79, 7000, 221, 2, 38, 3000, 139, 1, 58, 5000, 114, 1, 25, 1000, 41, 1, 11, 10000, 116, 1, 11, 1000, 54, 1, 20, 2000, 65, 1, 15, 1000, 40, 1, 23, 4000, 139, 1, 72, 4000, 141, 3, 89, 5000, 197, 1, 10, 2000, 53, 2, 37, 10000, 199, 2, 44, 2000, 102
0.05, 4, 4, 4, 4, 4, 5, 109, 9000, 314, 1, 13, 2000, 142, 0, 172, 10000, 314, 1, 13, 1000, 28, 1, 24, 2000, 44, 6, 105, 7000, 277, 4, 116, 6000, 166, 1, 13, 6000, 277, 1, 14, 2000, 42, 1, 9, 5000, 207, 1, 9, 1000, 26, 8, 149, 5000, 201, 2, 40, 5000, 185, 1, 18, 5000, 241, 3, 49, 5000, 244, 4, 108, 4000, 139
0.05, 4, 4, 4, 4, 4, 1, 24, 2000, 41, 3, 67, 7000, 162, 0, 51, 2000, 92, 0, 16, 6000, 162, 1, 22, 3000, 77, 2, 49, 7000, 132, 7, 195, 7000, 334, 2, 52, 8000, 334, 3, 206, 7000, 280, 1, 9, 3000, 28, 1, 40, 3000, 69, 1, 10, 3000, 284, 1, 22, 3000, 133, 0, 21, 2000, 44, 2, 40, 2000, 95, 1, 35, 3000, 134
0.05, 4, 4, 4, 4, 4, 2, 58, 3000, 106, 0, 56, 5000, 162, 1, 20, 3000, 162, 0, 25, 2000, 46, 5, 103, 8000, 258, 2, 47, 5000, 150, 0, 16, 1000, 65, 2, 80, 7000, 258, 1, 9, 1000, 35, 4, 106, 9000, 175, 1, 19, 1000, 64, 2, 26, 3000, 178, 1, 33, 3000, 128, 1, 17, 3000, 128, 3, 51, 2000, 71, 1, 11, 2000, 92
0.05, 4, 4, 4, 4, 4, 6, 100, 10000, 244, 0, 16, 2000, 34, 6, 98, 4000, 244, 0, 18, 3000, 138, 1, 31, 4000, 146, 0, 12, 2000, 44, 3, 95, 7000, 245, 5, 86, 4000, 245, 0, 44, 3000, 105, 1, 24, 2000, 66, 1, 43, 3000, 156, 1, 34, 4000, 158, 1, 45, 7000, 124, 2, 33, 2000, 77, 1, 23, 1000, 41, 1, 10, 4000, 126
0.05, 4, 4, 4, 4, 4, 3, 66, 3000, 128, 0, 37, 7000, 128, 1, 11, 1000, 22, 1, 9, 1000, 59, 1, 19, 1000, 33, 1, 26, 5000, 62, 1, 9, 5000, 202, 5, 135, 6000, 202, 2, 69, 4000, 153, 1, 21, 9000, 156, 2, 19, 1000, 48, 2, 28, 3000, 80, 3, 95, 3000, 113, 1, 19, 3000, 136, 0, 10, 3000, 188, 2, 52, 7000, 196
0.05, 4, 4, 4, 4, 4, 1, 11, 1000, 38, 1, 28, 9000, 119, 3, 49, 5000, 119, 2, 24, 1000, 67, 5, 77, 5000, 192, 1, 16, 1000, 51, 0, 31, 3000, 106, 3, 52, 8000, 192, 1, 17, 1000, 33, 6, 131, 9000, 271, 2, 91, 6000, 128, 0, 10, 7000, 268, 6, 96, 5000, 160, 1, 27, 2000, 54, 1, 19, 6000, 281, 0, 113, 9000, 279
