0.05, 4, 4, 4, 4, 4, 1, 23, 2000, 91, 1, 20, 1000, 45, 1, 45, 5000, 141, 2, 48, 6000, 141, 1, 71, 6000, 147, 1, 23, 1000, 42, 1, 32, 4000, 147, 0, 13, 2000, 75, 0, 67, 5000, 154, 0, 23, 8000, 254, 3, 53, 4000, 87, 5, 95, 5000, 254, 1, 51, 4000, 166, 3, 48, 5000, 166, 1, 17, 1000, 63, 1, 28, 3000, 114
0.05, 4, 4, 4, 4, 4, 1, 13, 1000, 25, 2, 119, 6000, 198, 1, 10, 1000, 77, 1, 51, 9000, 198, 3, 48, 2000, 74, 2, 60, 9000, 232, 4, 92, 10000, 232, 0, 18, 2000, 136, 0, 144, 10000, 271, 1, 20, 8000, 127, 2, 31, 9000, 271, 1, 58, 2000, 94, 5, 161, 8000, 279, 1, 42, 7000, 279, 0, 38, 2000, 70, 1, 13, 3000, 113
0.05, 4, 4, 4, 4, 4, 3, 51, 4000, 124, 3, 67, 6000, 194, 0, 70, 6000, 274, 3, 77, 6000, 274, 1, 15, 1000, 56, 1, 37, 2000, 94, 2, 29, 8000, 216, 7, 115, 10000, 216, 4, 107, 5000, 194, 1, 15, 3000, 83, 0, 35, 3000, 194, 1, 11, 1000, 48, 2, 24, 9000, 125, 1, 31, 4000, 125, 0, 17, 1000, 67, 1, 23, 1000, 93
0.05, 4, 4, 4, 4, 4, 2, 59, 10000, 221, 2, 36, 2000, 78, 3, 79, 7000, 221, 2, 38, 3000, 139, 1, 58, 5000, 118, 1, 25, 1000, 47, 1, 11, 10000, 118, 1, 11, 1000, 59, 1, 20, 2000, 74, 1, 15, 1000, 50, 1, 23, 4000, 147, 1, 72, 4000, 147, 3, 89, 5000, 205, 1, 10, 2000, 67, 2, 37, 10000, 205, 2, 44, 2000, 113
0.05, 4, 4, 4, 4, 4, 5, 109, 9000, 314, 1, 13, 2000, 142, 0, 172, 10000, 314, 1, 13, 1000, 28, 1, 24, 2000, 46, 6, 105, 7000, 277, 4, 116, 6000, 166, 1, 13, 6000, 277, 1, 14, 2000, 54, 1, 9, 5000, 211, 1, 9, 1000, 39, 8, 149, 5000, 211, 2, 40, 5000, 203, 1, 18, 5000, 255, 3, 49, 5000, 255, 4, 108, 4000, 161
0.05, 4, 4, 4, 4, 4, 1, 24, 2000, 41, 3, 67, 7000, 162, 0, 51, 2000, 92, 0, 16, 6000, 162, 1, 22, 3000, 78, 2, 49, 7000, 132, 7, 195, 7000, 334, 2, 52, 8000, 334, 3, 206, 7000, 287, 1, 9, 3000, 37, 1, 40, 3000, 78, 1, 10, 3000, 287, 1, 22, 3000, 144, 0, 21, 2000, 66, 2, 40, 2000, 108, 1, 35, 3000, 144
0.05, 4, 4, 4, 4, 4, 2, 58, 3000, 106, 0, 56, 5000, 162, 1, 20, 3000, 162, 0, 25, 2000, 46, 5, 103, 8000, 258, 2, 47, 5000, 150, 0, 16, 1000, 68, 2, 80, 7000, 258, 1, 9, 1000, 42, 4, 106, 9000, 180, 1, 19, 1000, 70, 2, 26, 3000, 180, 1, 33, 3000, 138, 1, 17, 3000, 138, 3, 51, 2000, 86, 1, 11, 2000, 104
0.05, 4, 4, 4, 4, 4, 6, 100, 10000, 244, 0, 16, 2000, 34, 6, 98, 4000, 244, 0, 18, 3000, 138, 1, 31, 4000, 147, 0, 12, 2000, 56, 3, 95, 7000, 245, 5, 86, 4000, 245, 0, 44, 3000, 125, 1, 24, 2000, 81, 1, 43, 3000, 169, 1, 34, 4000, 169, 1, 45, 7000, 140, 2, 33, 2000, 94, 1, 23, 1000, 59, 1, 10, 4000, 140
0.05, 4, 4, 4, 4, 4, 3, 66, 3000, 128, 0, 37, 7000, 128, 1, 11, 1000, 22, 1, 9, 1000, 59, 1, 19, 1000, 35, 1, 26, 5000, 62, 1, 9, 5000, 202, 5, 135, 6000, 202, 2, 69, 4000, 157, 1, 21, 9000, 157, 2, 19, 1000, 56, 2, 28, 3000, 86, 3, 95, 3000, 128, 1, 19, 3000, 148, 0, 10, 3000, 202, 2, 52, 7000, 202
0.05, 4, 4, 4, 4, 4, 1, 11, 1000, 38, 1, 28, 9000, 119, 3, 49, 5000, 119, 2, 24, 1000, 67, 5, 77, 5000, 192, 1, 16, 1000, 55, 0, 31, 3000, 110, 3, 52, 8000, 192, 1, 17, 1000, 44, 6, 131, 9000, 274, 2, 91, 6000, 137, 0, 10, 7000, 274, 6, 96, 5000, 175, 1, 27, 2000, 73, 1, 19, 6000, 288, 0, 113, 9000, 288
0.05, 4, 4, 4, 4, 4, 1, 45, 5000, 267, 1, 16, 1000, 33, 1, 15, 4000, 79, 8, 180, 9000, 267, 1, 14, 2000, 82, 1, 17, 1000, 44, 1, 14, 6000, 82, 2, 21, 1000, 67, 0, 64, 3000, 190, 0, 83, 10000, 190, 1, 14, 1000, 43, 1, 11, 2000, 107, 1, 30, 3000, 112, 1, 37, 9000, 158, 1, 45, 4000, 158, 0, 25, 1000, 74
0.05, 4, 4, 4, 4, 4, 3, 111, 5000, 160, 1, 9, 1000, 26, 0, 20, 7000, 160, 1, 15, 1000, 46, 1, 16, 1000, 32, 1, 9, 1000, 58, 1, 25, 2000, 93, 1, 34, 3000, 93, 1, 13, 1000, 48, 1, 43, 4000, 132, 2, 38, 2000, 88, 1, 24, 4000, 132, 3, 61, 4000, 138, 1, 25, 2000, 74, 1, 19, 1000, 48, 1, 13, 7000, 138
